PrimaryKey,Title,ReviewText,Date,Rating,Source,ReviewerName,Sentiment,SentimentDrivers,ExtractedTags,Cluster
33e3b3f9-4e7b-4c06-8fd5-5dbd9669225e,Excellent Product,This is a great product! Works perfectly out of the box. Very happy with my purchase.,2024-02-05,5,BestBuy Canada,John Smith,Positive,Performance|Satisfaction,General Feedback,1
c8e27437-e90c-4d68-9604-1538bab7ca41,Good value for money,Good product at a reasonable price. Does what it says. Shipping was fast.,2024-02-04,4,BestBuy Canada,Sarah Johnson,Positive,Value|Performance|Customer Service,High Performance|Good Value,3
f4dcf794-c21a-4ad4-bcfd-b3bdff984a7f,Not as described,Product quality is lower than expected. The description was misleading. Would not recommend.,2024-02-03,2,BestBuy Canada,Mike Chen,Positive,Quality|Satisfaction,Recommended|Not Recommended,2
c131beb7-68c1-493c-b20f-0ac86bf3c9d3,"Amazing, highly recommend",Simply amazing! Better than I expected. The customer service was also helpful during setup.,2024-02-02,5,BestBuy Canada,Emily Davis,Neutral,Ease of Use|Customer Service,General Feedback,2
c66abbea-0fe7-4472-a96c-6141d37a80d5,Average product,"It is ok. Nothing special, but gets the job done. Could be better quality though.",2024-02-01,3,BestBuy Canada,David Wilson,Positive,Quality,General Feedback,2
a24ac185-4673-41cb-b544-49f72f0b16f0,Waste of money,Stopped working after a week. Terrible quality. Very disappointed with this product. Do not buy!,2024-01-31,1,BestBuy Canada,Robert Brown,Negative,Quality|Satisfaction,General Feedback,0
57954556-9dd3-496e-8e46-9828e60b096d,Sample Review 0,This is review number 0. The product is quite good overall. Satisfied with purchase.,2024-01-11,3,BestBuy Canada,Reviewer_0,Positive,Satisfaction,General Feedback,1
6bc83105-523b-40f1-b045-1c2d6578b035,Sample Review 1,This is review number 1. The product is quite good overall. Satisfied with purchase.,2024-01-16,4,BestBuy Canada,Reviewer_1,Positive,Satisfaction,General Feedback,1
7b805e0c-b660-430a-8f39-689b07c42573,Sample Review 2,This is review number 2. The product is quite good overall. Satisfied with purchase.,2024-01-28,3,BestBuy Canada,Reviewer_2,Positive,Satisfaction,General Feedback,1
2f0974aa-9ced-4898-bca3-0edfc30829d9,Sample Review 3,This is review number 3. The product is quite good overall. Satisfied with purchase.,2024-02-13,2,BestBuy Canada,Reviewer_3,Positive,Satisfaction,General Feedback,1
3181cb80-75cf-46b6-a5ba-9f03a1d4320a,Sample Review 4,This is review number 4. The product is quite good overall. Satisfied with purchase.,2024-02-24,1,BestBuy Canada,Reviewer_4,Positive,Satisfaction,General Feedback,1
30792fbb-8989-4b97-aadf-8bf96fff817a,Sample Review 5,This is review number 5. The product is quite good overall. Satisfied with purchase.,2024-02-15,1,BestBuy Canada,Reviewer_5,Positive,Satisfaction,General Feedback,1
18558708-eec0-4ffc-8cbb-815fea7d7b01,Sample Review 6,This is review number 6. The product is quite good overall. Satisfied with purchase.,2024-02-10,1,BestBuy Canada,Reviewer_6,Positive,Satisfaction,General Feedback,1
f8b2a01a-9115-4943-81c3-1ab26ecc3d67,Sample Review 7,This is review number 7. The product is quite good overall. Satisfied with purchase.,2024-01-10,2,BestBuy Canada,Reviewer_7,Positive,Satisfaction,General Feedback,1
d1e4ddb6-f854-438f-802d-0aec2a17d7e7,Sample Review 8,This is review number 8. The product is quite good overall. Satisfied with purchase.,2024-01-26,4,BestBuy Canada,Reviewer_8,Positive,Satisfaction,General Feedback,1
e0aecfce-ec84-4400-8d29-dd9adebf6e45,Sample Review 9,This is review number 9. The product is quite good overall. Satisfied with purchase.,2024-02-18,1,BestBuy Canada,Reviewer_9,Positive,Satisfaction,General Feedback,1
16d9cc91-7408-4e22-b5b6-4c564bc22865,Sample Review 10,This is review number 10. The product is quite good overall. Satisfied with purchase.,2024-01-02,1,BestBuy Canada,Reviewer_10,Positive,Satisfaction,General Feedback,1
5ab09b77-af5a-4371-8dfb-9d4c1519d69a,Sample Review 11,This is review number 11. The product is quite good overall. Satisfied with purchase.,2024-02-12,1,BestBuy Canada,Reviewer_11,Positive,Satisfaction,General Feedback,1
b524f228-997b-4cca-a132-dc67058ddcdb,Sample Review 12,This is review number 12. The product is quite good overall. Satisfied with purchase.,2024-01-10,3,BestBuy Canada,Reviewer_12,Positive,Satisfaction,General Feedback,1
80512732-56b5-4657-bc38-bf347e1384f7,Sample Review 13,This is review number 13. The product is quite good overall. Satisfied with purchase.,2024-02-12,5,BestBuy Canada,Reviewer_13,Positive,Satisfaction,General Feedback,1
